Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,Twitter Followers,Instagram Followers,Linkedin Followers,CEO Connections,CEO_Connections_Dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,Total Funding Amount (converted),Last Funding Amount (converted),Organization Age
Embea,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Financial Services, Insurance,,",11-50,1,"€4,000,000",Seed,2024-02-20,"€4,000,000",6.0,6.0,Embea is an Embedded Insurance company for Life & Health,Financial Services,Embea Financial Services startup website,,,828.0,500.0,1,€,4000000.0,€,4000000.0,1.08,historical,1.08,4000000.0,4000000.0,3
xito.one,2020-01-01,"Ulm, Baden-Wurttemberg, Germany",Ulm,Baden-Wurttemberg,Robotics,11-50,2,"€1,600,000",Seed,2024-02-21,"€1,600,000",3.0,1.0,XITO is a manufacturer of the marketplace for automation through robotics.,Robotics,xito.one Robotics startup website,,,655.0,500.0,1,€,1600000.0,€,1600000.0,1.08,historical,1.08,1600000.0,1600000.0,5
Acto,2021-01-01,"Paderborn, Nordrhein-Westfalen,",Paderborn,Nordrhein-Westfalen,"Artificial Intelligence (AI), B2B,,,",1-10,1,"€3,700,000",Seed,2024-02-22,"€3,700,000",6.0,,Acto is an AI-based software that helps sales managers by syncing all sales data in one place and provides a customized data signal to CRM.,Artificial Intelligence (AI),Acto Artificial Intelligence (AI) startup website,225.0,,4000.0,500.0,1,€,3700000.0,€,3700000.0,1.08,historical,1.08,3700000.0,3700000.0,4
Octomind,2023-03-01,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,"Artificial Intelligence (AI), Software,,",1-10,1,"€4,500,000",Seed,2024-02-23,"€4,500,000",4.0,8.0,"Octomind is a developer tool using AI to make automated end-to-end testing stable, fast, and affordable.",Artificial Intelligence (AI),Octomind Artificial Intelligence (AI) startup website,95.0,,,,0,€,4500000.0,€,4500000.0,1.08,historical,1.08,4500000.0,4500000.0,1
Heyflow,2020-02-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,Software,11-50,3,"$22,000,000",Series A,2024-02-23,"$16,000,000",5.0,17.0,Heyflow is a platform for interactive user experiences that requires no coding.,Software,Heyflow Software startup website,,,9000.0,500.0,1,$,22000000.0,$,16000000.0,1.08,historical,1.08,23760000.0,17280000.0,4
Sunhat,2022-01-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Business Information Systems,,",11-50,2,"€5,000,000",Seed,2024-02-27,"€3,000,000",5.0,6.0,Sunhat is an automation tool that combines software engineering and sustainability expertise to help supply chain businesses.,Business Information Systems,Sunhat Business Information Systems startup website,2.0,26.0,2000.0,500.0,1,€,5000000.0,€,3000000.0,1.09,historical,1.09,5000000.0,3000000.0,3
reteach,2020-03-25,"Berlin, Berlin, Germany",Berlin,Berlin,Software,1-10,1,"€1,500,000",Seed,2024-02-28,"€1,500,000",2.0,1.0,Reteach creates software and digital tools for online learning and training.,Software,reteach Software startup website,,,2000.0,500.0,1,€,1500000.0,€,1500000.0,1.08,historical,1.08,1500000.0,1500000.0,4
Yendou,2022-07-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Clinical Trials, Information Technology,,",1-10,1,"€1,200,000",Pre-Seed,2024-02-28,"€1,200,000",2.0,9.0,"We make it unbelievably easy, for clinical operations teams, to manage site selection activities for oncology clinical trials.",Clinical Trials,Yendou Clinical Trials startup website,,,2000.0,500.0,1,€,1200000.0,€,1200000.0,1.08,historical,1.08,1200000.0,1200000.0,2
Assemblio,2022-01-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Artificial Intelligence (AI), Industrial,,",11-50,1,"€2,100,000",Seed,2024-02-28,"€2,100,000",11.0,4.0,Assemblio offers an AI-based software solution for time- and cost-efficient assembly planning,Artificial Intelligence (AI),Assemblio Artificial Intelligence (AI) startup website,,,4000.0,500.0,1,€,2100000.0,€,2100000.0,1.08,historical,1.08,2100000.0,2100000.0,3
ECEON Robotics,2022-01-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Artificial Intelligence (AI), Industrial Automation,,",11-50,1,,Pre-Seed,2024-03-01,,1.0,,ECEON develops and operates next-generation autonomous mobile robots based on advanced artificial intelligence for intralogistics.,Artificial Intelligence (AI),ECEON Robotics Artificial Intelligence (AI) startup website,,,202.0,469.0,0,,,,,1.08,historical,1.08,,,3
leonardo. impact,2023-02-16,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Data Collection and Labeling, FinTech,,,,,",1-10,2,"$1,604,367",Pre-Seed,2024-03-01,"$1,000,000",2.0,7.0,"AI-powered SaaS solution to streamline impact data collection, verification & reporting for impact investors and their portfolio companies.",Data Collection and Labeling,leonardo. impact Data Collection and Labeling startup website,,,1000.0,500.0,1,$,1604367.0,$,1000000.0,1.08,historical,1.08,1732716.36,1080000.0,1
Meaningful,2024-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Information Technology,,",1-10,1,"€100,000",Pre-Seed,2024-03-05,"€100,000",1.0,,Supercharge your market research.,Artificial Intelligence (AI),Meaningful Artificial Intelligence (AI) startup website,,534.0,6000.0,500.0,1,€,100000.0,€,100000.0,1.09,historical,1.09,100000.0,100000.0,1
Deep Care,2020-01-01,"Ludwigsburg-eglosheim, Baden-Wurttemberg,",Ludwigsburg-eglosheim,Baden-Wurttemberg,"Artificial Intelligence (AI), Intelligent Systems,",11-50,2,,Seed,2024-03-05,,6.0,,Deep Care is a seat behavior assistant that offers sitting behavior for office workers.,Artificial Intelligence (AI),Deep Care Artificial Intelligence (AI) startup website,,,3000.0,500.0,1,,,,,1.09,historical,1.09,,,5
Vilosia,2022-01-01,"Halle, Sachsen-Anhalt, Germany",Halle,Sachsen-Anhalt,"Generative AI, Information Technology,,",1-10,2,,Pre-Seed,2024-03-10,,,,Vilosia helps medium and large enterprises with internal development teams migrate legacy software systems.,Generative AI,Vilosia Generative AI startup website,,,134.0,71.0,0,,,,,1.09,historical,1.09,,,3
Frontnow,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), B2B,,,,",11-50,3,"€6,500,000",Seed,2024-03-12,"€3,800,000",6.0,14.0,Enterprise-Grade AI Supercharging Customer Experience,Artificial Intelligence (AI),Frontnow Artificial Intelligence (AI) startup website,22.0,418.0,2000.0,500.0,1,€,6500000.0,€,3800000.0,1.09,historical,1.09,6500000.0,3800000.0,5
Autonomo Technologies,2021-05-25,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Artificial Intelligence (AI), Computer Vision,,",11-50,2,"$4,519,159",Seed,2024-03-13,"€2,300,000",5.0,2.0,Autonomo Simplifies Shopping for Retailers and Customers,Artificial Intelligence (AI),Autonomo Technologies Artificial Intelligence (AI) startup website,,617.0,4000.0,500.0,1,$,4519159.0,€,2300000.0,1.09,historical,1.09,4925883.3100000005,2300000.0,3
Tomorrow Things,2021-01-01,"Bonn, Nordrhein-Westfalen, Germany",Bonn,Nordrhein-Westfalen,"Business Development, SaaS,",1-10,1,"€1,500,000",Seed,2024-03-13,"€1,500,000",9.0,,Tomorrow Thing is an intelligent automation platform that makes digital twins of technological assets.,Business Development,Tomorrow Things Business Development startup website,,,824.0,500.0,1,€,1500000.0,€,1500000.0,1.09,historical,1.09,1500000.0,1500000.0,4
Neotaste,2021-01-01,"Osnabrück, Niedersachsen, Germany",Osnabrück,Niedersachsen,"Apps, Internet, Search Engine,",11-50,2,"€21,000,000",Series A,2024-03-14,"€15,100,000",5.0,17.0,Neotaste is the developer of the restaurant-finding app that provides free marketing services for restaurateurs.,Apps,Neotaste Apps startup website,,59000.0,5000.0,500.0,1,€,21000000.0,€,15100000.0,1.1,historical,1.1,21000000.0,15100000.0,4
Interloom Technologies,2024-01-01,"München, Bayern, Germany",München,Bayern,"Artificial Intelligence (AI), Software",11-50,1,"$3,000,000",Seed,2024-03-14,"$3,000,000",1.0,1.0,Interloom Technologies redefines process automation for an AI future.,Artificial Intelligence (AI),Interloom Technologies Artificial Intelligence (AI) startup website,45.0,,818.0,500.0,1,$,3000000.0,$,3000000.0,1.1,historical,1.1,3300000.0000000005,3300000.0000000005,1
Feniska,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Pet, Software",11-50,2,,Pre-Seed,2024-03-17,,1.0,,Feniska is a software company that provides smart devices with an integrated app to monitor pet health.,Information Technology,Feniska Information Technology startup website,16.0,2077.0,1100.0,500.0,1,,,,,1.09,historical,1.09,,,4
Graswald,2021-01-01,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,"3D Technology, Digital Entertainment,,",11-50,3,"$4,627,444",Seed,2024-03-20,"$3,300,000",13.0,4.0,Graswald engages in the creation of natural and digital 3D worlds for the entertainment industry.,3D Technology,Graswald 3D Technology startup website,2932.0,3978.0,2000.0,500.0,1,$,4627444.0,$,3300000.0,1.09,historical,1.09,5043913.96,3597000.0000000005,4
Daato,2021-12-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, SaaS,",11-50,2,"€5,000,000",Seed,2024-03-20,"€5,000,000",3.0,3.0,Daato is a holistic ESG management platform for enterprises of all sizes.,Information Technology,Daato Information Technology startup website,,,5000.0,500.0,1,€,5000000.0,€,5000000.0,1.09,historical,1.09,5000000.0,5000000.0,3
UseCodify,2022-10-11,"Berlin, Berlin, Germany",Berlin,Berlin,"Information Technology, Software",1-10,3,"$26,155",Pre-Seed,2024-03-21,"€8,000",1.0,,UseCodify is a digital business management that track record of brands scaling profitably based on high-performing strategies.,Information Technology,UseCodify Information Technology startup website,,,543.0,500.0,1,$,26155.0,€,8000.0,1.09,historical,1.09,28508.95,8000.0,2
enuncia.AI,2023-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,Software,1-10,2,"€50,000",Seed,2024-03-23,,,,Enuncia.AI develops a mobile application for speech impediment diagnostics and treatment.,Software,enuncia.AI Software startup website,,,40.0,171.0,0,€,50000.0,,,1.08,historical,1.08,50000.0,,1
ai|coustics,2021-09-14,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Audio",1-10,2,"€1,895,000",Pre-Seed,2024-03-25,"€1,650,000",4.0,1.0,ai|coustics is pioneering innovative audio algorithms based on AI and Deep Learning models.,Artificial Intelligence (AI),ai|coustics Artificial Intelligence (AI) startup website,30.0,147.0,1000.0,500.0,1,€,1895000.0,€,1650000.0,1.08,historical,1.08,1895000.0,1650000.0,3
Midas,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Cryptocurrency, Web3",1-10,2,"$8,750,000",Seed,2024-03-28,"$8,750,000",15.0,,Midas is a cryptocurrency application that allows users to sell and invest in cryptocurrency and tokens.,Cryptocurrency,Midas Cryptocurrency startup website,,,62000.0,500.0,1,$,8750000.0,$,8750000.0,1.08,historical,1.08,9450000.0,9450000.0,2
cureVision,2021-03-25,"Munich, Bayern, Germany",Munich,Bayern,"Artificial Intelligence (AI), Health Care,,,",11-50,3,"$2,886,322",Seed,2024-03-28,"$1,100,000",3.0,,"AI-based medical imaging and diagnostic solutions for vascular surgeons and care staff, specialist for chronic wounds",Artificial Intelligence (AI),cureVision Artificial Intelligence (AI) startup website,,,1000.0,500.0,1,$,2886322.0,$,1100000.0,1.08,historical,1.08,3117227.76,1188000.0,3
myhome.io,2023-05-31,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,"PropTech, Real Estate, Software",1-10,1,,Pre-Seed,2024-04-01,,,,"SaaS, Mobile App, Prop Tech, Real estate portal",PropTech,myhome.io PropTech startup website,12.0,,1000.0,500.0,1,,,,,1.08,historical,1.08,,,1
headful,2020-05-14,"Berlin, Berlin, Germany",Berlin,Berlin,"Content Marketing, CRM, Lead Management,,",11-50,2,"€600,000",Seed,2024-04-01,"€500,000",,,"Saas, CRM, Sales and Service Communication Platform",Content Marketing,headful Content Marketing startup website,,,370.0,378.0,0,€,600000.0,€,500000.0,1.08,historical,1.08,600000.0,500000.0,4
a2zebra,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Learning, Education",1-10,1,"$500,000",Pre-Seed,2024-04-03,"$500,000",8.0,6.0,a2zebra is a zebra company that specializes in instructional technology for elementary school kids.,E-Learning,a2zebra E-Learning startup website,,639.0,829.0,500.0,1,$,500000.0,$,500000.0,1.08,historical,1.08,540000.0,540000.0,3
ikas,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"E-Commerce Platforms, Retail Technology,,",101-250,3,"$24,000,000",Series A,2024-04-04,"$20,000,000",10.0,8.0,Ikas is a next-generation e-commerce platform for small to medium-sized businesses.,E-Commerce Platforms,ikas E-Commerce Platforms startup website,502.0,2773.0,43000.0,500.0,1,$,24000000.0,$,20000000.0,1.08,historical,1.08,25920000.0,21600000.0,5
Olivaw Robotics,2023-01-01,"Munich, Bayern, Germany",Munich,Bayern,"Robotic Process Automation (RPA),",1-10,1,"€1,200,000",Pre-Seed,2024-04-08,"€1,200,000",2.0,,"Olivaw Robotics is a platform developed to help robot manufacturers, distributors in operating their own robotic networks.",Robotic Process Automation (RPA),Olivaw Robotics Robotic Process Automation (RPA) startup website,,,296.0,260.0,0,€,1200000.0,€,1200000.0,1.08,historical,1.08,1200000.0,1200000.0,2
Complori,2020-11-03,"Berlin, Berlin, Germany",Berlin,Berlin,"EdTech, Education, Information Technology",11-50,2,"€3,500,000",Seed,2024-04-10,,4.0,,We build the number one platform for parents seeking future-ready out of school activities for their children.,EdTech,Complori EdTech startup website,,,2000.0,500.0,1,€,3500000.0,,,1.09,historical,1.09,3500000.0,,4
Scavenger AI,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Artificial Intelligence (AI),,",11-50,1,"€1,100,000",Pre-Seed,2024-04-11,"€1,100,000",5.0,8.0,Scavenger allows decision-makers to take the best decision possible by transforming raw data into actionable insights within seconds.,Analytics,Scavenger AI Analytics startup website,,,1000.0,500.0,1,€,1100000.0,€,1100000.0,1.07,historical,1.07,1100000.0,1100000.0,2
Finmid,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Financial Services, FinTech, Lending,",11-50,3,"€35,600,000",Series A,2024-04-15,"€23,000,000",4.0,31.0,Finmid enables software companies to integrate financial services into their product portfolio through a single API integration.,Financial Services,Finmid Financial Services startup website,,,5000.0,500.0,1,€,35600000.0,€,23000000.0,1.06,historical,1.06,35600000.0,23000000.0,4
Visiocue,2024-04-15,"Berlin, Berlin, Germany",Berlin,Berlin,"Air Transportation, Artificial Intelligence (AI),,",1-10,1,,Pre-Seed,2024-04-15,,1.0,,Visiocue is an AI startup improving airport logistics by preventing human errors in the BHS. Funded by BEUMER Group,Air Transportation,Visiocue Air Transportation startup website,,,39.0,122.0,0,,,,,1.06,historical,1.06,,,0
Cozero,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Digital Media, Enterprise Software,,,",11-50,1,"€6,500,000",Series A,2024-04-16,"€6,500,000",7.0,6.0,Cozero‘s SaaS empowers companies to decarbonize and boost their business performance.,Digital Media,Cozero Digital Media startup website,94.0,,7000.0,500.0,1,€,6500000.0,€,6500000.0,1.06,historical,1.06,6500000.0,6500000.0,5
SupplyET,2022-01-05,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Enterprise Software, Information Technology,,,,",1-10,4,"€526,785",Seed,2024-04-17,"€342,500",5.0,,"SupplyET enables manufacturers to plan, simulate, and optimize production networks with visual, AI-powered plug-and-play software",Enterprise Software,SupplyET Enterprise Software startup website,,,1000.0,500.0,1,€,526785.0,€,342500.0,1.06,historical,1.06,526785.0,342500.0,3
AIPERIA GmbH,2021-01-01,"Großrinderfeld, Baden-Wurttemberg,",Großrinderfeld,Baden-Wurttemberg,"Artificial Intelligence (AI), Food and Beverage,,",11-50,2,"€7,500,000",Series A,2024-04-18,"€7,500,000",3.0,,AI-based planning solution for fresh food,Artificial Intelligence (AI),AIPERIA GmbH Artificial Intelligence (AI) startup website,,62.0,2000.0,500.0,1,€,7500000.0,€,7500000.0,1.07,historical,1.07,7500000.0,7500000.0,4
Langdock,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Database,",1-10,2,"$3,500,000",Seed,2024-04-19,"$3,000,000",7.0,12.0,"Langdock is an interactive chat assistant for teams of any size, complete with full privacy settings to ensure compliance.",Artificial Intelligence (AI),Langdock Artificial Intelligence (AI) startup website,541.0,,4000.0,500.0,1,$,3500000.0,$,3000000.0,1.06,historical,1.06,3710000.0,3180000.0,2
Fliz,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Finance, Financial Services, FinTech,",1-10,1,"€100,000",Pre-Seed,2024-04-22,"€100,000",1.0,,Fliz is a fintech company that provides users with a secure online payment platform that is free of any additional fees.,Finance,Fliz Finance startup website,,,348.0,500.0,1,€,100000.0,€,100000.0,1.07,historical,1.07,100000.0,100000.0,2
MARKT-PILOT,2020-04-01,"Esslingen, Baden-Wurttemberg,",Esslingen,Baden-Wurttemberg,"Analytics, Machinery Manufacturing,,",51-100,2,"$49,735,894",Series A,2024-04-23,"$43,000,000",2.0,18.0,MARKT-PILOT develops software to optimize machine manufacturers' spare parts business through market-driven pricing.,Analytics,MARKT-PILOT Analytics startup website,,303.0,,,0,$,49735894.0,$,43000000.0,1.07,historical,1.07,53217406.580000006,46010000.0,4
AVES Reality,2022-01-01,"Garmisch-partenkirchen, Bayern,",Garmisch-partenkirchen,Bayern,"Artificial Intelligence (AI), Mapping Services,",1-10,1,,Pre-Seed,2024-04-25,,3.0,,AVES Reality creates AI-based software that generates virtual 3D maps of any location using data such as satellite and overflight images.,Artificial Intelligence (AI),AVES Reality Artificial Intelligence (AI) startup website,,,2000.0,500.0,1,,,,,1.07,historical,1.07,,,3
Deltia,2022-11-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Artificial Intelligence (AI),,,,,",11-50,2,"€6,100,000",Seed,2024-04-26,"€4,500,000",11.0,5.0,Unlocking a new level of productivity in manual processes with the power of computer vision and AI-based analytics,Analytics,Deltia Analytics startup website,,,2000.0,500.0,1,€,6100000.0,€,4500000.0,1.07,historical,1.07,6100000.0,4500000.0,2
MyTaag,2020-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,"Credit Cards, Debit Cards, Internet,",1-10,2,"€550,000",Seed,2024-04-29,"€500,000",2.0,,MyTaag provides customized smart sticker and cards that can be used as digital business cards.,Credit Cards,MyTaag Credit Cards startup website,,1635.0,1000.0,500.0,1,€,550000.0,€,500000.0,1.07,historical,1.07,550000.0,500000.0,5
Dwinity,2023-01-01,"Gräfelfing, Bayern, Germany",Gräfelfing,Bayern,"Blockchain, Decentralized Finance (DeFi),",11-50,1,"$2,400,000",Seed,2024-04-30,"$2,400,000",,1.0,Dwinity is a Web3 operating system for sensitive Data & Decentralized AI.,Blockchain,Dwinity Blockchain startup website,14200.0,4407.0,5000.0,500.0,1,$,2400000.0,$,2400000.0,1.07,historical,1.07,2568000.0,2568000.0,2
Ovom Care,2023-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Fertility,,",1-10,2,"€5,800,000",Seed,2024-04-30,"€4,800,000",3.0,22.0,Ovom Care is an AI healthcare based company.,Artificial Intelligence (AI),Ovom Care Artificial Intelligence (AI) startup website,,1281.0,4000.0,500.0,1,€,5800000.0,€,4800000.0,1.07,historical,1.07,5800000.0,4800000.0,1
Fronyx,2020-01-01,"Essen, Nordrhein-Westfalen, Germany",Essen,Nordrhein-Westfalen,"Artificial Intelligence (AI), Electric Vehicle,,,,,",,1,,Pre-Seed,2024-05-01,,1.0,,Fronyx develops online solutions using artificial intelligence for the electric vehicle industry.,Artificial Intelligence (AI),Fronyx Artificial Intelligence (AI) startup website,,,901.0,500.0,1,,,,,1.07,historical,1.07,,,5
Arbio Group,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Hospitality, Property Management,,,",51-100,2,"€25,000,000",Seed,2024-05-01,"€20,000,000",14.0,,Arbio is transforming the property management landscape for alternative accommodations by leveraging advanced AI technology.,Hospitality,Arbio Group Hospitality startup website,,,635.0,500.0,1,€,25000000.0,€,20000000.0,1.07,historical,1.07,25000000.0,20000000.0,3
GauVendi,2020-05-08,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,"Hospitality, Information Technology,",11-50,1,"€1,000,000",Seed,2024-05-07,"€1,000,000",,3.0,GauVendi is an End-To_end Sales System including AI-powered booking technology and revenue automation for the hospitality industry.,Hospitality,GauVendi Hospitality startup website,,,4000.0,500.0,1,€,1000000.0,€,1000000.0,1.08,historical,1.08,1000000.0,1000000.0,4
everyone energy,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Energy, Renewable Energy, SaaS,",11-50,1,,Seed,2024-05-07,,2.0,2.0,everyone energy is an automated energy advisory platform that aims to improve the user experience during the energy transition.,Energy,everyone energy Energy startup website,53.0,,2000.0,500.0,1,,,,,1.08,historical,1.08,,,4
UpVisit,2022-04-28,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,"Augmented Reality, Education,,,,,,",1-10,2,"€1,600,000",Seed,2024-05-07,"€1,600,000",1.0,,"UpVisit is a digital operating system for upgrading physical spaces, with DeepTech access and connects the analog and digital worlds.",Augmented Reality,UpVisit Augmented Reality startup website,,,2000.0,500.0,1,€,1600000.0,€,1600000.0,1.08,historical,1.08,1600000.0,1600000.0,2
hexafarms,2022-07-13,"Berlin, Berlin, Germany",Berlin,Berlin,"AgTech, B2B, SaaS",1-10,2,"$1,525,807",Pre-Seed,2024-05-14,"€1,300,000",3.0,19.0,Hexafarms offers a SaaS that enables greenhouses and vertical indoor farms to save on their operations and production.,AgTech,hexafarms AgTech startup website,,,2000.0,500.0,1,$,1525807.0,€,1300000.0,1.08,historical,1.08,1647871.56,1300000.0,2
embedded ocean GmbH | Xentara,2020-06-03,"Unterhaching, Bayern, Germany",Unterhaching,Bayern,"Industrial Automation, Industrial Manufacturing,,,",11-50,2,,Seed,2024-05-14,,2.0,,The Future of PLC is Software-Defined,Industrial Automation,embedded ocean GmbH | Xentara Industrial Automation startup website,,,2000.0,500.0,1,,,,,1.08,historical,1.08,,,4
trawa,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Clean Energy, CleanTech, Renewable Energy,",1-10,3,"€12,400,000",Seed,2024-05-15,"€10,000,000",14.0,25.0,Renewable Energy-as-a-Service,Clean Energy,trawa Clean Energy startup website,,,3000.0,500.0,1,€,12400000.0,€,10000000.0,1.08,historical,1.08,12400000.0,10000000.0,3
Aiden,2024-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Artificial Intelligence (AI), Property Management,",1-10,1,"€100,000",Pre-Seed,2024-05-16,"€100,000",1.0,,"Aiden uses AI to help property managers enhance customer service and automate requests, guiding them into AI-driven real estate.",Artificial Intelligence (AI),Aiden Artificial Intelligence (AI) startup website,,,,,0,€,100000.0,€,100000.0,1.09,historical,1.09,100000.0,100000.0,1
Caeli Wind,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Intelligent Systems, Marketing,",51-100,3,"€14,000,000",Series A,2024-05-16,"€11,000,000",5.0,15.0,Digital marketplace that identifies wind potential locations for landowners and enables professional AI-supported analysis and marketing.,Intelligent Systems,Caeli Wind Intelligent Systems startup website,,114.0,2000.0,500.0,1,€,14000000.0,€,11000000.0,1.09,historical,1.09,14000000.0,11000000.0,4
Omnipeak.AI,2023-01-01,"Frankfurt An Der Oder, Brandenburg,",Frankfurt An Der Oder,Brandenburg,"Artificial Intelligence (AI), Marketing,",11-50,1,,Pre-Seed,2024-05-23,,2.0,,Omnipeak is an AI-powered software solution that automates account-based marketing campaigns.,Artificial Intelligence (AI),Omnipeak.AI Artificial Intelligence (AI) startup website,14.0,,463.0,383.0,0,,,,,1.08,historical,1.08,,,2
Faircado,2022-01-04,"Berlin, Berlin, Germany",Berlin,Berlin,"Browser Extensions, E-Commerce,,,",1-10,2,"€3,000,000",Pre-Seed,2024-05-28,"€2,250,000",12.0,26.0,"Faircado is making sustainable consumption easy, attractive and affordable through its AI-powered second-hand shopping assistant",Browser Extensions,Faircado Browser Extensions startup website,169.0,4.711,6000.0,9468.0,1,€,3000000.0,€,2250000.0,1.09,historical,1.09,3000000.0,2250000.0,3
JUPUS,2022-01-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,"Artificial Intelligence (AI), Legal Tech,",11-50,3,"€1,850,000",Seed,2024-05-28,"€1,300,000",8.0,2.0,JUPUS is the AI secretary for law firms,Artificial Intelligence (AI),JUPUS Artificial Intelligence (AI) startup website,,,2000.0,500.0,1,€,1850000.0,€,1300000.0,1.09,historical,1.09,1850000.0,1300000.0,3
AUTOVIO,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Automotive, Consulting, Education,,",11-50,3,"€8,400,000",Series A,2024-05-29,"€3,800,000",2.0,2.0,Autovio provides a full-stack platform of software and business services for the driving education industry.,Automotive,AUTOVIO Automotive startup website,,,227.0,500.0,1,€,8400000.0,€,3800000.0,1.09,historical,1.09,8400000.0,3800000.0,4
Seqana,2021-02-01,"Berlin, Berlin, Germany",Berlin,Berlin,"AgTech, Carbon Capture, Food and Beverage,",11-50,4,"$5,690,623",Seed,2024-05-30,"€2,100,000",9.0,2.0,Seqana develops a software enabling carbon capturing for farmers.,AgTech,Seqana AgTech startup website,,,4000.0,500.0,1,$,5690623.0,€,2100000.0,1.08,historical,1.08,6145872.840000001,2100000.0,3
Agenta,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Apps, Artificial Intelligence (AI),,,,",1-10,2,"€1,100,000",Seed,2024-06-01,"€1,000,000",2.0,1.0,Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.,Apps,Agenta Apps startup website,115.0,,2000.0,500.0,1,€,1100000.0,€,1000000.0,1.09,historical,1.09,1100000.0,1000000.0,2
roofline,2024-03-05,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,"Artificial Intelligence (AI), Machine Learning,,",1-10,1,,Pre-Seed,2024-06-01,,1.0,,"On the mission to make AI deployment at the edge flexible, efficient, and easy.",Artificial Intelligence (AI),roofline Artificial Intelligence (AI) startup website,,,952.0,500.0,1,,,,,1.09,historical,1.09,,,0
Leeana,2023-02-07,"Munich, Bayern, Germany",Munich,Bayern,"GreenTech, Software, Sustainability",1-10,1,"$125,000",Pre-Seed,2024-06-03,"$125,000",1.0,1.0,The biodiversity platform for the next generation of nature-related action,GreenTech,Leeana GreenTech startup website,,,2000.0,500.0,1,$,125000.0,$,125000.0,1.09,historical,1.09,136250.0,136250.0,1
Crafthunt,2022-10-06,"Munich, Bayern, Germany",Munich,Bayern,"Construction, Recruiting, SaaS,",1-10,2,"€3,000,000",Seed,2024-06-04,"€3,000,000",4.0,,Europe's largest platform for construction professionals offering the best job opportunities and breaking language barriers,Construction,Crafthunt Construction startup website,12.0,,1000.0,500.0,1,€,3000000.0,€,3000000.0,1.09,historical,1.09,3000000.0,3000000.0,2
Metiundo,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,"Analytics, Information Technology,,,,",11-50,2,,Seed,2024-06-05,,2.0,,Metiundo develops hardware and software for collecting consumption data of properties.,Analytics,Metiundo Analytics startup website,,,2000.0,500.0,1,,,,,1.09,historical,1.09,,,4
